Ver1.2	2229585149	StartFile	4/8/2020	1:54:00 PM	E:\BehavioralExperiments\Tianqi\RatData_Tianqi\RawData\040820\Run 2\SoundData.txt	2229585149
2230802322	Triggered	4	 NoSound	50	2	2230802322
2230819698	Triggered	1	 PureTone-5kHz	50	2	2230819698
2230824713	Triggered	5	 PureTone-5kHz	50	2	2230824713
2230828529	Triggered	8	 NoSound	50	2	2230828529
2230838090	Triggered	5	 PureTone-5kHz	50	2	2230838090
2230842232	Triggered	8	 NoSound	50	2	2230842232
2230851048	Triggered	5	 PureTone-5kHz	50	2	2230851048
2230854662	Triggered	8	 NoSound	50	2	2230854662
2230864083	Triggered	5	 PureTone-5kHz	50	2	2230864083
2230868828	Triggered	2	 NoSound	50	2	2230868828
2230878989	Triggered	5	 PureTone-5kHz	50	2	2230878989
2230883934	Triggered	1	 PureTone-5kHz	50	2	2230883934
2230887548	Triggered	6	 NoSound	50	2	2230887548
2230895095	Triggered	1	 PureTone-5kHz	50	2	2230895095
2230899576	Triggered	6	 NoSound	50	2	2230899576
2230905924	Triggered	1	 PureTone-5kHz	50	2	2230905924
2230911940	Triggered	6	 NoSound	50	2	2230911940
2230918157	Triggered	1	 PureTone-5kHz	50	2	2230918157
2230921901	Triggered	4	 NoSound	50	2	2230921901
2230934134	Triggered	3	 NoSound	50	2	2230934134
2230936872	Triggered	2	 NoSound	50	2	2230936872
2230942420	Triggered	1	 PureTone-5kHz	50	2	2230942420
2230947569	Triggered	5	 PureTone-5kHz	50	2	2230947569
2230951508	Triggered	2	 NoSound	50	2	2230951508
2230959263	Triggered	5	 PureTone-5kHz	50	2	2230959263
2230965481	Triggered	2	 NoSound	50	2	2230965481
2230971564	Triggered	5	 PureTone-5kHz	50	2	2230971564
2230979388	Triggered	1	 PureTone-5kHz	50	2	2230979388
2230989342	Triggered	8	 NoSound	50	2	2230989342
2231008337	Triggered	2	 NoSound	50	2	2231008337
2231015551	Triggered	5	 PureTone-5kHz	50	2	2231015551
2231019621	Triggered	8	 NoSound	50	2	2231019621
2231032453	Triggered	5	 PureTone-5kHz	50	2	2231032453
2231037270	Triggered	1	 PureTone-5kHz	50	2	2231037270
2231040809	Triggered	6	 NoSound	50	2	2231040809
2231049766	Triggered	1	 PureTone-5kHz	50	2	2231049766
2231053848	Triggered	6	 NoSound	50	2	2231053848
2231063469	Triggered	1	 PureTone-5kHz	50	2	2231063469
2231067144	Triggered	6	 NoSound	50	2	2231067144
2231076239	Triggered	1	 PureTone-5kHz	50	2	2231076239
2231079977	Triggered	4	 NoSound	50	2	2231079977
2231094288	Triggered	1	 PureTone-5kHz	50	2	2231094288
2231099227	Triggered	5	 PureTone-5kHz	50	2	2231099227
2231102571	Triggered	8	 NoSound	50	2	2231102571
2231121491	Triggered	5	 PureTone-5kHz	50	2	2231121491
2231125029	Triggered	8	 NoSound	50	2	2231125029
2231141207	Triggered	5	 PureTone-5kHz	50	2	2231141207
2231144880	Triggered	8	 NoSound	50	2	2231144880
2231160792	Triggered	5	 PureTone-5kHz	50	2	2231160792
2231164398	Triggered	8	 NoSound	50	2	2231164398
2231178775	Triggered	5	 PureTone-5kHz	50	2	2231178775
2231183981	Triggered	1	 PureTone-5kHz	50	2	2231183981
2231187932	Triggered	4	 NoSound	50	2	2231187932
2231203305	Triggered	1	 PureTone-5kHz	50	2	2231203305
2231206982	Triggered	4	 NoSound	50	2	2231206982
2231221412	Triggered	1	 PureTone-5kHz	50	2	2231221412
2231225429	Triggered	4	 NoSound	50	2	2231225429
2231242334	Triggered	1	 PureTone-5kHz	50	2	2231242334
2231246345	Triggered	4	 NoSound	50	2	2231246345
2231259646	Triggered	1	 PureTone-5kHz	50	2	2231259646
2231264729	Triggered	5	 PureTone-5kHz	50	2	2231264729
2231268534	Triggered	8	 NoSound	50	2	2231268534
2231281837	Triggered	5	 PureTone-5kHz	50	2	2231281837
2231285650	Triggered	8	 NoSound	50	2	2231285650
2231298615	Triggered	5	 PureTone-5kHz	50	2	2231298615
2231302160	Triggered	8	 NoSound	50	2	2231302160
2231315191	Triggered	5	 PureTone-5kHz	50	2	2231315191
2231318732	Triggered	8	 NoSound	50	2	2231318732
