Ver1.3	1091456755	StartFile	12/22/2020	9:35:35 AM	E:\BehavioralExperiments\Ratzo\Horizon\Rawdata\122220A\SoundData.txt	1091456755
1092303679	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092303679
1092307289	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1092307289
1092307491	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1092307491
1092317698	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092317698
1092321009	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1092321009
1092321211	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1092321211
1092332378	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092332378
1092336049	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1092336049
1092336251	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1092336251
1092345374	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092345374
1092345577	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1092345577
1092348744	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1092348744
1092348947	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1092348947
1092358129	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092358129
1092358333	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1092358333
1092361739	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1092361739
1092366973	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092366973
1092367176	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1092367176
1092401027	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1092401027
1092401230	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1092401230
1092412038	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092412038
1092412240	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1092412240
1092415707	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1092415707
1092415910	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1092415910
1092425996	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092425996
1092426197	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1092426197
1092429553	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1092429553
1092429755	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1092429755
1092438818	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092438818
1092439019	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1092439019
1092442662	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1092442662
1092448859	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092448859
1092449059	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1092449059
1092463539	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092463539
1092466728	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092466728
1092466930	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1092466930
1092473828	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092473828
1092477498	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092477498
1092477698	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1092477698
1092486703	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092486703
1092490915	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092490915
1092491126	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1092491126
1092507641	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092507641
1092507844	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1092507844
1092514920	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092514920
1092515121	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1092515121
1092531167	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092531167
1092531370	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1092531370
1092536822	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1092536822
1092537025	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1092537025
1092572500	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092572500
1092572703	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1092572703
1092577012	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1092577012
1092577213	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1092577213
1092592174	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092592174
1092592376	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1092592376
1092596325	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092596325
1092596526	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1092596526
1092603486	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092603486
1092603688	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1092603688
1092607346	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092607346
1092607547	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1092607547
1092615217	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092615217
1092615418	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1092615418
1092619128	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092619128
1092619329	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1092619329
1092627492	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092627492
1092627692	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1092627692
1092638802	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092638802
1092642532	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1092642532
1092651256	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092651256
1092656611	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1092656611
1092662450	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092662450
1092692109	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1092692109
1092705766	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092705766
1092705970	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1092705970
1092712987	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1092712987
1092713189	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	1092713189
1092727306	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092727306
1092727510	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1092727510
1092731277	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1092731277
1092731479	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	1092731479
1092744098	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092744098
1092744301	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1092744301
1092747942	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1092747942
1092748146	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	1092748146
1092759494	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092759494
1092759696	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1092759696
1092763105	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1092763105
1092763307	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	1092763307
1092775438	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092775438
1092775641	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1092775641
