Ver1.2	147377372	StartFile	2/14/2020	1:24:04 PM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\SoundData.txt	147377372
150067139	Triggered	8	 NoSound	50	2	150067139
150072955	Triggered	2	 NoSound	50	2	150072955
150079238	Triggered	8	 NoSound	50	2	150079238
150081709	Triggered	6	 NoSound	50	2	150081709
150088666	Triggered	1	 Modulated Tone	25	2	150088666
150092874	Triggered	6	 NoSound	50	2	150092874
150099090	Triggered	5	 Modulated Tone	25	2	150099090
150104839	Triggered	8	 NoSound	50	2	150104839
150109788	Triggered	6	 NoSound	50	2	150109788
150115735	Triggered	5	 Modulated Tone	25	2	150115735
150119409	Triggered	2	 NoSound	50	2	150119409
150155036	Triggered	1	 Modulated Tone	25	2	150155036
150162323	Triggered	5	 Modulated Tone	25	2	150162323
150165529	Triggered	2	 NoSound	50	2	150165529
150193538	Triggered	1	 Modulated Tone	25	2	150193538
150201756	Triggered	5	 Modulated Tone	25	2	150201756
150205032	Triggered	8	 NoSound	50	2	150205032
150208780	Triggered	7	 NoSound	50	2	150208780
150209912	Triggered	6	 NoSound	50	2	150209912
150221543	Triggered	6	 NoSound	50	2	150221544
150230702	Triggered	2	 NoSound	50	2	150230702
150246341	Triggered	1	 Modulated Tone	25	2	150246341
150253091	Triggered	4	 NoSound	50	2	150253091
150261379	Triggered	1	 Modulated Tone	25	2	150261379
150267865	Triggered	5	 Modulated Tone	25	2	150267865
150270943	Triggered	8	 NoSound	50	2	150270943
150295606	Triggered	5	 Modulated Tone	25	2	150295606
150300015	Triggered	2	 NoSound	50	2	150300015
150316457	Triggered	6	 NoSound	50	2	150316457
150319464	Triggered	7	 NoSound	50	2	150319464
150320806	Triggered	8	 NoSound	50	2	150320806
150324409	Triggered	1	 Modulated Tone	25	2	150324409
150333501	Triggered	6	 NoSound	50	2	150333501
150339184	Triggered	5	 Modulated Tone	25	2	150339184
150342391	Triggered	8	 NoSound	50	2	150342391
150346668	Triggered	6	 NoSound	50	2	150346668
150356498	Triggered	1	 Modulated Tone	25	2	150356498
150364053	Triggered	4	 NoSound	50	2	150364053
150374272	Triggered	1	 Modulated Tone	25	2	150374272
150383969	Triggered	1	 Modulated Tone	25	2	150383969
150393858	Triggered	4	 NoSound	50	2	150393858
150396530	Triggered	2	 NoSound	50	2	150396530
150406759	Triggered	1	 Modulated Tone	25	2	150406759
150417853	Triggered	1	 Modulated Tone	25	2	150417853
150424673	Triggered	8	 NoSound	50	2	150424673
150428750	Triggered	7	 NoSound	50	2	150428750
150430421	Triggered	8	 NoSound	50	2	150430421
150437972	Triggered	5	 Modulated Tone	25	2	150437972
150442051	Triggered	8	 NoSound	50	2	150442051
150449136	Triggered	6	 NoSound	50	2	150449136
150455619	Triggered	1	 Modulated Tone	25	2	150455619
150462035	Triggered	4	 NoSound	50	2	150462035
150469589	Triggered	1	 Modulated Tone	25	2	150469589
150477678	Triggered	5	 Modulated Tone	25	2	150477678
150481823	Triggered	8	 NoSound	50	2	150481823
150487970	Triggered	5	 Modulated Tone	25	2	150487970
150491779	Triggered	2	 NoSound	50	2	150491779
150507689	Triggered	5	 Modulated Tone	25	2	150507689
150525334	Triggered	2	 NoSound	50	2	150525334
150552475	Triggered	6	 NoSound	50	2	150552475
150557285	Triggered	7	 NoSound	50	2	150557285
150566116	Triggered	5	 Modulated Tone	25	2	150566116
150569852	Triggered	2	 NoSound	50	2	150569852
150584556	Triggered	5	 Modulated Tone	25	2	150584556
150589702	Triggered	2	 NoSound	50	2	150589702
150598324	Triggered	1	 Modulated Tone	25	2	150598324
150636823	Triggered	8	 NoSound	50	2	150636823
150640841	Triggered	6	 NoSound	50	2	150640841
150646117	Triggered	4	 NoSound	50	2	150646117
150656955	Triggered	2	 NoSound	50	2	150656955
150662158	Triggered	8	 NoSound	50	2	150662158
150668578	Triggered	1	 Modulated Tone	25	2	150668578
150672851	Triggered	6	 NoSound	50	2	150672851
150683146	Triggered	4	 NoSound	50	2	150683146
150690698	Triggered	8	 NoSound	50	2	150690698
150695918	Triggered	1	 Modulated Tone	25	2	150695918
150699921	Triggered	4	 NoSound	50	2	150699921
150711753	Triggered	1	 Modulated Tone	25	2	150711753
150716309	Triggered	6	 NoSound	50	2	150716309
150725456	Triggered	1	 Modulated Tone	25	2	150725456
150729470	Triggered	6	 NoSound	50	2	150729470
150735484	Triggered	1	 Modulated Tone	25	2	150735484
150739030	Triggered	4	 NoSound	50	2	150739030
150750453	Triggered	1	 Modulated Tone	25	2	150750453
150756202	Triggered	6	 NoSound	50	2	150756202
150763154	Triggered	2	 NoSound	50	2	150763154
150772851	Triggered	1	 Modulated Tone	25	2	150772851
150776990	Triggered	4	 NoSound	50	2	150776990
150791295	Triggered	1	 Modulated Tone	25	2	150791295
150797980	Triggered	6	 NoSound	50	2	150797980
150805262	Triggered	1	 Modulated Tone	25	2	150805262
150810012	Triggered	4	 NoSound	50	2	150810012
150845842	Triggered	1	 Modulated Tone	25	2	150845842
150856879	Triggered	6	 NoSound	50	2	150856879
150868561	Triggered	1	 Modulated Tone	25	2	150868561
150873307	Triggered	6	 NoSound	50	2	150873307
150884074	Triggered	1	 Modulated Tone	25	2	150884074
150889951	Triggered	8	 NoSound	50	2	150889951
150896234	Triggered	6	 NoSound	50	2	150896234
150900845	Triggered	5	 Modulated Tone	25	2	150900845
150906058	Triggered	8	 NoSound	50	2	150906058
150933264	Triggered	5	 Modulated Tone	25	2	150933264
150938877	Triggered	2	 NoSound	50	2	150938877
150948235	Triggered	5	 Modulated Tone	25	2	150948235
150954252	Triggered	2	 NoSound	50	2	150954252
150960136	Triggered	8	 NoSound	50	2	150960136
150967418	Triggered	7	 NoSound	50	2	150967418
150969559	Triggered	6	 NoSound	50	2	150969559
150974309	Triggered	5	 Modulated Tone	25	2	150974309
150979718	Triggered	2	 NoSound	50	2	150979718
150985807	Triggered	5	 Modulated Tone	25	2	150985807
150989417	Triggered	8	 NoSound	50	2	150989417
151013474	Triggered	5	 Modulated Tone	25	2	151013474
151018827	Triggered	8	 NoSound	50	2	151018827
151037268	Triggered	1	 Modulated Tone	25	2	151037268
151118420	Triggered	8	 NoSound	50	2	151118420
151124567	Triggered	6	 NoSound	50	2	151124567
151136799	Triggered	5	 Modulated Tone	25	2	151136799
151142275	Triggered	2	 NoSound	50	2	151142275
151148963	Triggered	8	 NoSound	50	2	151148963
151160856	Triggered	5	 Modulated Tone	25	2	151160856
151164799	Triggered	8	 NoSound	50	2	151164799
151187460	Triggered	6	 NoSound	50	2	151187460
151197622	Triggered	5	 Modulated Tone	25	2	151197622
151205976	Triggered	8	 NoSound	50	2	151205976
151230578	Triggered	5	 Modulated Tone	25	2	151230578
151239394	Triggered	4	 NoSound	50	2	151239394
151246283	Triggered	3	 NoSound	50	2	151246283
151247285	Triggered	2	 NoSound	50	2	151247285
151254568	Triggered	8	 NoSound	50	2	151254568
151272888	Triggered	5	 Modulated Tone	25	2	151272888
151276901	Triggered	8	 NoSound	50	2	151276901
151299557	Triggered	5	 Modulated Tone	25	2	151299557
151306302	Triggered	2	 NoSound	50	2	151306302
151316729	Triggered	5	 Modulated Tone	25	2	151316729
151324283	Triggered	8	 NoSound	50	2	151324283
151334113	Triggered	1	 Modulated Tone	25	2	151334113
151339187	Triggered	6	 NoSound	50	2	151339187
151356234	Triggered	1	 Modulated Tone	25	2	151356234
151380038	Triggered	4	 NoSound	50	2	151380038
151391791	Triggered	1	 Modulated Tone	25	2	151391791
151398412	Triggered	4	 NoSound	50	2	151398412
151407365	Triggered	1	 Modulated Tone	25	2	151407365
151412114	Triggered	6	 NoSound	50	2	151412114
151427953	Triggered	1	 Modulated Tone	25	2	151427953
151435977	Triggered	6	 NoSound	50	2	151435977
151451817	Triggered	1	 Modulated Tone	25	2	151451817
151515111	Triggered	6	 NoSound	50	2	151515111
151524404	Triggered	4	 NoSound	50	2	151524404
151536446	Triggered	8	 NoSound	50	2	151536446
151539717	Triggered	1	 Modulated Tone	25	2	151539717
151544122	Triggered	6	 NoSound	50	2	151544122
151559095	Triggered	1	 Modulated Tone	25	2	151559095
151565247	Triggered	4	 NoSound	50	2	151565247
151569790	Triggered	2	 NoSound	50	2	151569790
151574734	Triggered	1	 Modulated Tone	25	2	151574734
151581552	Triggered	6	 NoSound	50	2	151581552
151602005	Triggered	1	 Modulated Tone	25	2	151602005
151608558	Triggered	6	 NoSound	50	2	151608558
151625134	Triggered	1	 Modulated Tone	25	2	151625134
151636634	Triggered	6	 NoSound	50	2	151636634
151654416	Triggered	1	 Modulated Tone	25	2	151654416
151660090	Triggered	6	 NoSound	50	2	151660090
151676138	Triggered	1	 Modulated Tone	25	2	151676138
151683620	Triggered	6	 NoSound	50	2	151683620
151696786	Triggered	5	 Modulated Tone	25	2	151696786
151701132	Triggered	8	 NoSound	50	2	151701132
151707615	Triggered	6	 NoSound	50	2	151707615
151712098	Triggered	5	 Modulated Tone	25	2	151712098
151715969	Triggered	2	 NoSound	50	2	151715969
151744049	Triggered	5	 Modulated Tone	25	2	151744049
151748660	Triggered	2	 NoSound	50	2	151748660
151770046	Triggered	5	 Modulated Tone	25	2	151770046
151774791	Triggered	8	 NoSound	50	2	151774791
151783820	Triggered	5	 Modulated Tone	25	2	151783820
151788760	Triggered	2	 NoSound	50	2	151788760
151816839	Triggered	1	 Modulated Tone	25	2	151816839
151827259	Triggered	6	 NoSound	50	2	151827259
151837753	Triggered	3	 NoSound	50	2	151837753
151840694	Triggered	2	 NoSound	50	2	151840694
151849517	Triggered	6	 NoSound	50	2	151849517
151853061	Triggered	8	 NoSound	50	2	151853061
151860430	Triggered	6	 NoSound	50	2	151860430
151865298	Triggered	5	 Modulated Tone	25	2	151865298
151869569	Triggered	8	 NoSound	50	2	151869569
151880398	Triggered	5	 Modulated Tone	25	2	151880398
