Ver1.3	1021071007	StartFile	12/21/2020	2:02:29 PM	E:\BehavioralExperiments\Ratzo\Horizon\Rawdata\122120B\SoundData.txt	1021071007
1022120263	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1022120263
1022123250	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1022123250
1022123453	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1022123453
1022137269	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022137269
1022137471	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1022137471
1022140759	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1022140759
1022140962	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1022140962
1022153634	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022153634
1022153836	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1022153836
1022157003	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1022157003
1022157205	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1022157205
1022169758	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022169758
1022169959	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1022169959
1022173668	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1022173668
1022173870	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1022173870
1022191722	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022191722
1022191922	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1022191922
1022206940	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022206940
1022209888	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1022209888
1022210090	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1022210090
1022225244	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022225244
1022228600	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1022228600
1022228802	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1022228802
1022244132	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022244132
1022246409	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1022246409
1022246611	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1022246611
1022262479	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022262479
