Ver1.2	2217972939	StartFile	4/8/2020	10:40:28 AM	E:\BehavioralExperiments\Tianqi\RatData_Tianqi\RawData\040820\SoundData.txt	2217972939
2219409443	Triggered	8	 NoSound	50	2	2219409443
2219419601	Triggered	5	 PureTone-5kHz	50	2	2219419601
2219422744	Triggered	8	 NoSound	50	2	2219422744
2219432843	Triggered	5	 PureTone-5kHz	50	2	2219432843
2219436044	Triggered	8	 NoSound	50	2	2219436044
2219447476	Triggered	5	 PureTone-5kHz	50	2	2219447476
2219450349	Triggered	8	 NoSound	50	2	2219450349
2219459379	Triggered	5	 PureTone-5kHz	50	2	2219459379
2219463248	Triggered	1	 PureTone-5kHz	50	2	2219463248
2219466597	Triggered	6	 NoSound	50	2	2219466597
2219476350	Triggered	1	 PureTone-5kHz	50	2	2219476350
2219479758	Triggered	6	 NoSound	50	2	2219479758
2219489852	Triggered	1	 PureTone-5kHz	50	2	2219489852
2219493127	Triggered	6	 NoSound	50	2	2219493127
2219503353	Triggered	1	 PureTone-5kHz	50	2	2219503353
2219507563	Triggered	6	 NoSound	50	2	2219507563
2219517658	Triggered	1	 PureTone-5kHz	50	2	2219517658
2219522339	Triggered	5	 PureTone-5kHz	50	2	2219522339
2219525949	Triggered	2	 NoSound	50	2	2219525949
2219533437	Triggered	5	 PureTone-5kHz	50	2	2219533437
2219539046	Triggered	2	 NoSound	50	2	2219539046
2219546065	Triggered	5	 PureTone-5kHz	50	2	2219546065
2219549942	Triggered	2	 NoSound	50	2	2219549942
2219556566	Triggered	5	 PureTone-5kHz	50	2	2219556566
2219559833	Triggered	8	 NoSound	50	2	2219559833
2219573937	Triggered	5	 PureTone-5kHz	50	2	2219573937
2219577881	Triggered	1	 PureTone-5kHz	50	2	2219577881
2219581224	Triggered	6	 NoSound	50	2	2219581224
2219586771	Triggered	1	 PureTone-5kHz	50	2	2219586771
2219592051	Triggered	6	 NoSound	50	2	2219592051
2219599212	Triggered	1	 PureTone-5kHz	50	2	2219599212
2219606358	Triggered	5	 PureTone-5kHz	50	2	2219606358
2219611567	Triggered	6	 NoSound	50	2	2219611567
2219617722	Triggered	1	 PureTone-5kHz	50	2	2219617722
2219620926	Triggered	4	 NoSound	50	2	2219620926
2219633425	Triggered	1	 PureTone-5kHz	50	2	2219633425
2219637236	Triggered	5	 PureTone-5kHz	50	2	2219637236
2219640177	Triggered	8	 NoSound	50	2	2219640177
2219655016	Triggered	5	 PureTone-5kHz	50	2	2219655016
2219658028	Triggered	8	 NoSound	50	2	2219658028
2219671193	Triggered	5	 PureTone-5kHz	50	2	2219671193
2219674265	Triggered	8	 NoSound	50	2	2219674265
2219687366	Triggered	5	 PureTone-5kHz	50	2	2219687366
2219690709	Triggered	8	 NoSound	50	2	2219690709
2219703809	Triggered	5	 PureTone-5kHz	50	2	2219703809
2219708026	Triggered	1	 PureTone-5kHz	50	2	2219708026
2219711635	Triggered	4	 NoSound	50	2	2219711635
2219720920	Triggered	1	 PureTone-5kHz	50	2	2219720920
2219724667	Triggered	4	 NoSound	50	2	2219724667
2219732484	Triggered	1	 PureTone-5kHz	50	2	2219732484
2219735966	Triggered	4	 NoSound	50	2	2219735966
2219743918	Triggered	1	 PureTone-5kHz	50	2	2219743918
2219747526	Triggered	4	 NoSound	50	2	2219747526
2219755344	Triggered	1	 PureTone-5kHz	50	2	2219755344
2219759893	Triggered	5	 PureTone-5kHz	50	2	2219759893
2219763099	Triggered	8	 NoSound	50	2	2219763099
2219771586	Triggered	5	 PureTone-5kHz	50	2	2219771586
2219780341	Triggered	8	 NoSound	50	2	2219780341
2219786359	Triggered	5	 PureTone-5kHz	50	2	2219786359
2219792439	Triggered	1	 PureTone-5kHz	50	2	2219792439
2219796585	Triggered	8	 NoSound	50	2	2219796585
2219805141	Triggered	5	 PureTone-5kHz	50	2	2219805141
2219808483	Triggered	2	 NoSound	50	2	2219808483
2219818374	Triggered	5	 PureTone-5kHz	50	2	2219818374
2219822719	Triggered	1	 PureTone-5kHz	50	2	2219822719
2219826194	Triggered	4	 NoSound	50	2	2219826194
2219837093	Triggered	1	 PureTone-5kHz	50	2	2219837093
2219840437	Triggered	4	 NoSound	50	2	2219840437
2219852265	Triggered	1	 PureTone-5kHz	50	2	2219852265
2219855605	Triggered	4	 NoSound	50	2	2219855605
2219865506	Triggered	1	 PureTone-5kHz	50	2	2219865506
2219869239	Triggered	4	 NoSound	50	2	2219869239
2219880335	Triggered	1	 PureTone-5kHz	50	2	2219880335
2219884882	Triggered	5	 PureTone-5kHz	50	2	2219884882
2219888497	Triggered	2	 NoSound	50	2	2219888497
2219902259	Triggered	5	 PureTone-5kHz	50	2	2219902259
2219905673	Triggered	2	 NoSound	50	2	2219905673
2219920842	Triggered	5	 PureTone-5kHz	50	2	2219920842
2219924388	Triggered	2	 NoSound	50	2	2219924388
2219936683	Triggered	5	 PureTone-5kHz	50	2	2219936683
2219940829	Triggered	2	 NoSound	50	2	2219940829
2219954335	Triggered	5	 PureTone-5kHz	50	2	2219954335
2219963352	Triggered	1	 PureTone-5kHz	50	2	2219963352
2219967168	Triggered	4	 NoSound	50	2	2219967168
2219978396	Triggered	1	 PureTone-5kHz	50	2	2219978396
2219982334	Triggered	4	 NoSound	50	2	2219982334
2219992635	Triggered	1	 PureTone-5kHz	50	2	2219992635
2219996439	Triggered	4	 NoSound	50	2	2219996439
2220005596	Triggered	1	 PureTone-5kHz	50	2	2220005596
2220009139	Triggered	6	 NoSound	50	2	2220009139
2220020903	Triggered	1	 PureTone-5kHz	50	2	2220020903
2220025921	Triggered	5	 PureTone-5kHz	50	2	2220025921
2220029458	Triggered	8	 NoSound	50	2	2220029458
2220042564	Triggered	5	 PureTone-5kHz	50	2	2220042564
2220046637	Triggered	8	 NoSound	50	2	2220046637
2220059337	Triggered	5	 PureTone-5kHz	50	2	2220059337
2220063951	Triggered	8	 NoSound	50	2	2220063951
2220082461	Triggered	5	 PureTone-5kHz	50	2	2220082461
2220085942	Triggered	8	 NoSound	50	2	2220085942
2220098773	Triggered	5	 PureTone-5kHz	50	2	2220098773
2220104721	Triggered	1	 PureTone-5kHz	50	2	2220104721
2220108665	Triggered	6	 NoSound	50	2	2220108665
2220119358	Triggered	1	 PureTone-5kHz	50	2	2220119358
2220123104	Triggered	6	 NoSound	50	2	2220123104
2220133530	Triggered	1	 PureTone-5kHz	50	2	2220133530
2220137746	Triggered	6	 NoSound	50	2	2220137746
2220166681	Triggered	1	 PureTone-5kHz	50	2	2220166681
2220171628	Triggered	6	 NoSound	50	2	2220171628
2220185332	Triggered	1	 PureTone-5kHz	50	2	2220185332
2220191681	Triggered	5	 PureTone-5kHz	50	2	2220191681
2220195761	Triggered	2	 NoSound	50	2	2220195761
2220207062	Triggered	5	 PureTone-5kHz	50	2	2220207062
2220211665	Triggered	2	 NoSound	50	2	2220211665
2220221699	Triggered	5	 PureTone-5kHz	50	2	2220221699
2220321353	Triggered	2	 NoSound	50	2	2220321353
2220332515	Triggered	5	 PureTone-5kHz	50	2	2220332515
2220338002	Triggered	8	 NoSound	50	2	2220338002
2220355445	Triggered	5	 PureTone-5kHz	50	2	2220355445
2220361257	Triggered	1	 PureTone-5kHz	50	2	2220361257
2220365465	Triggered	6	 NoSound	50	2	2220365465
2220377905	Triggered	1	 PureTone-5kHz	50	2	2220377905
2220383313	Triggered	6	 NoSound	50	2	2220383313
2220396551	Triggered	1	 PureTone-5kHz	50	2	2220396551
2220401026	Triggered	6	 NoSound	50	2	2220401026
2220411720	Triggered	1	 PureTone-5kHz	50	2	2220411720
2220416064	Triggered	4	 NoSound	50	2	2220416064
2220443672	Triggered	1	 PureTone-5kHz	50	2	2220443672
2220449218	Triggered	5	 PureTone-5kHz	50	2	2220449218
2220452698	Triggered	8	 NoSound	50	2	2220452698
2220463187	Triggered	5	 PureTone-5kHz	50	2	2220463187
2220467938	Triggered	8	 NoSound	50	2	2220467938
