Ver1.3	502113465	StartFile	12/15/2020	1:53:12 PM	E:\BehavioralExperiments\Gerald\Horizon\RawData\121520\SoundData.txt	502113465
503422392	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	503422392
503425799	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503425799
503426002	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	503426002
503439157	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503439157
503439359	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	503439359
503441984	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503441984
503442187	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	503442187
503456784	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503456784
503456986	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	503456986
503459913	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503459913
503460115	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	503460115
503474172	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503474172
503474373	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	503474373
503485665	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503485665
503488914	Triggered	8,52,53,54,55,56,	 NoSound	40	2	503488914
503489116	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	503489116
503501127	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503501127
503504074	Triggered	8,52,53,54,55,56,	 NoSound	40	2	503504074
503504276	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	503504276
503525193	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503525193
503528742	Triggered	8,52,53,54,55,56,	 NoSound	40	2	503528742
503528944	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	503528944
503539150	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503539150
503539355	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	503539355
503542100	Triggered	8,52,53,54,55,56,	 NoSound	40	2	503542100
503542301	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	503542301
503551845	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503551845
503552049	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	503552049
503554794	Triggered	8,52,53,54,55,56,	 NoSound	40	2	503554794
503554996	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	503554996
503564842	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503564842
503565044	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	503565044
503567730	Triggered	8,52,53,54,55,56,	 NoSound	40	2	503567730
503567932	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	503567932
503582231	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503582231
503582433	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	503582433
503585840	Triggered	2,37,38,39,40,41,	 NoSound	40	2	503585840
503586042	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	503586042
503598175	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503598175
503598376	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	503598376
503602205	Triggered	2,37,38,39,40,41,	 NoSound	40	2	503602205
503602407	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	503602407
503612613	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503612613
503612815	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	503612815
503616163	Triggered	2,37,38,39,40,41,	 NoSound	40	2	503616163
503616364	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	503616364
503625910	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503625910
503626110	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	503626110
503640952	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503640952
503641154	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	503641154
503654729	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503654729
503657977	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503657977
503658180	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	503658180
503673020	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503673020
503676148	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503676148
503676350	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	503676350
503689505	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503689505
503689707	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	503689707
503693957	Triggered	6,47,48,49,50,51,	 NoSound	40	2	503693957
503699373	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503699373
503699577	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	503699577
503705630	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503705630
503705832	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	503705832
503719113	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503719113
503719318	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	503719318
503722837	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503722837
503723039	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	503723039
503736796	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503736796
503736999	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	503736999
503740050	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503740050
503740253	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	503740253
503752740	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503752740
503752943	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	503752943
503755869	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503755869
503756071	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	503756071
503770008	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503770008
503770209	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	503770209
503773736	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503773736
503773938	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	503773938
