Ver1.2	638615615	StartFile	2/22/2020	12:04:28 PM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\022220\SoundData.txt	638615615
640313319	Triggered	6	 NoSound	50	2	640313319
640327623	Triggered	1	 Modulated Tone	25	2	640327623
640330829	Triggered	6	 NoSound	50	2	640330829
640344197	Triggered	1	 Modulated Tone	25	2	640344197
640347472	Triggered	6	 NoSound	50	2	640347472
640361776	Triggered	1	 Modulated Tone	25	2	640361776
640365120	Triggered	6	 NoSound	50	2	640365120
640379089	Triggered	1	 Modulated Tone	25	2	640379089
640382363	Triggered	6	 NoSound	50	2	640382363
640395999	Triggered	1	 Modulated Tone	25	2	640395999
640401348	Triggered	5	 Modulated Tone	25	2	640401348
640405026	Triggered	2	 NoSound	50	2	640405026
640421537	Triggered	1	 Modulated Tone	25	2	640421537
640458829	Triggered	6	 NoSound	50	2	640458829
640468655	Triggered	5	 Modulated Tone	25	2	640468655
640472397	Triggered	2	 NoSound	50	2	640472398
640483695	Triggered	5	 Modulated Tone	25	2	640483695
640487370	Triggered	8	 NoSound	50	2	640487370
640494723	Triggered	5	 Modulated Tone	25	2	640494723
640498600	Triggered	8	 NoSound	50	2	640498600
640503478	Triggered	1	 Modulated Tone	25	2	640503478
640508359	Triggered	5	 Modulated Tone	25	2	640508359
640511834	Triggered	2	 NoSound	50	2	640511834
640522064	Triggered	5	 Modulated Tone	25	2	640522064
640528149	Triggered	8	 NoSound	50	2	640528149
640535295	Triggered	5	 Modulated Tone	25	2	640535295
640540909	Triggered	2	 NoSound	50	2	640540909
640557491	Triggered	5	 Modulated Tone	25	2	640557491
640560896	Triggered	2	 NoSound	50	2	640560896
640573594	Triggered	5	 Modulated Tone	25	2	640573594
640578408	Triggered	2	 NoSound	50	2	640578408
640589971	Triggered	5	 Modulated Tone	25	2	640589971
640593981	Triggered	2	 NoSound	50	2	640593981
640606280	Triggered	5	 Modulated Tone	25	2	640606280
640610090	Triggered	2	 NoSound	50	2	640610090
640622930	Triggered	5	 Modulated Tone	25	2	640622930
640626668	Triggered	2	 NoSound	50	2	640626668
640649592	Triggered	1	 Modulated Tone	25	2	640649592
640673255	Triggered	5	 Modulated Tone	25	2	640673255
640681414	Triggered	1	 Modulated Tone	25	2	640681414
640685620	Triggered	4	 NoSound	50	2	640685620
640701262	Triggered	1	 Modulated Tone	25	2	640701262
640710017	Triggered	4	 NoSound	50	2	640710017
640740966	Triggered	1	 Modulated Tone	25	2	640740966
640752327	Triggered	6	 NoSound	50	2	640752327
640762094	Triggered	1	 Modulated Tone	25	2	640762094
640766036	Triggered	6	 NoSound	50	2	640766036
640773919	Triggered	1	 Modulated Tone	25	2	640773919
640779331	Triggered	4	 NoSound	50	2	640779331
640793301	Triggered	1	 Modulated Tone	25	2	640793301
640798247	Triggered	6	 NoSound	50	2	640798247
640805733	Triggered	1	 Modulated Tone	25	2	640805733
