Ver1.3	506188844	StartFile	12/30/2020	10:13:04 AM	E:\BehavioralExperiments\Ratzo\Horizon\Rawdata\123020\SoundData.txt	506188844
507678783	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507678783
507682211	Triggered	2,37,38,39,40,41,	 NoSound	40	2	507682211
507682413	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	507682413
507689070	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507689070
507692861	Triggered	2,37,38,39,40,41,	 NoSound	40	2	507692861
507693063	Triggered	2,37,38,39,40,41,	 File_beep5	40	2	507693063
507702727	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507702727
507702931	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	507702931
507706278	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507706278
507706481	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	507706481
507719273	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507719273
507719474	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	507719474
507722703	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507722703
507722905	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	507722905
507734554	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507734554
507734758	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	507734758
507738286	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507738286
507738487	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	507738487
507753748	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507753748
507753949	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	507753949
507757419	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507757419
507763134	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507763134
507763337	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	507763337
507790756	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507790756
507790957	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	507790957
507800859	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507800859
507801060	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	507801060
507805370	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507805370
507805572	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	507805572
507814695	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507814695
507814896	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	507814896
507826910	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507826910
507831002	Triggered	4,42,43,44,45,46,	 NoSound	40	2	507831002
507838643	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507838643
507843094	Triggered	4,42,43,44,45,46,	 NoSound	40	2	507843094
507843296	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	507843296
507856149	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507856149
507860543	Triggered	4,42,43,44,45,46,	 NoSound	40	2	507860543
507860746	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	507860746
507872395	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507872395
507872599	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	507872599
507876547	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507876547
507876747	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	507876747
507884368	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507884368
507884570	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	507884570
507888041	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507888041
507888243	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	507888243
507902838	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507902838
507903041	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	507903041
