Ver1.2	2490595078	StartFile	4/11/2020	2:24:10 PM	E:\BehavioralExperiments\Hachi\RatData_Hachi\RawData\041120A\SoundData.txt	2490595078
2492581602	Triggered	5	 PureTone-5kHz	50	2	2492581602
2492585278	Triggered	8	 NoSound	50	2	2492585278
2492595970	Triggered	5	 PureTone-5kHz	50	2	2492595971
2492600584	Triggered	1	 PureTone-5kHz	50	2	2492600584
2492603794	Triggered	6	 NoSound	50	2	2492603794
2492614416	Triggered	1	 PureTone-5kHz	50	2	2492614416
2492619296	Triggered	6	 NoSound	50	2	2492619296
2492632202	Triggered	1	 PureTone-5kHz	50	2	2492632202
2492635543	Triggered	6	 NoSound	50	2	2492635543
2492644229	Triggered	1	 PureTone-5kHz	50	2	2492644229
2492647516	Triggered	4	 NoSound	50	2	2492647516
2492668163	Triggered	1	 PureTone-5kHz	50	2	2492668163
2492672573	Triggered	5	 PureTone-5kHz	50	2	2492672573
2492675579	Triggered	8	 NoSound	50	2	2492675579
2492699709	Triggered	5	 PureTone-5kHz	50	2	2492699709
2492703047	Triggered	8	 NoSound	50	2	2492703047
2492712678	Triggered	5	 PureTone-5kHz	50	2	2492712678
2492722164	Triggered	8	 NoSound	50	2	2492722164
2492732258	Triggered	7	 NoSound	50	2	2492732258
2492733928	Triggered	6	 NoSound	50	2	2492733928
2492744356	Triggered	5	 PureTone-5kHz	50	2	2492744356
2492747565	Triggered	2	 NoSound	50	2	2492747565
2492760746	Triggered	5	 PureTone-5kHz	50	2	2492760746
2492765343	Triggered	1	 PureTone-5kHz	50	2	2492765343
2492768555	Triggered	4	 NoSound	50	2	2492768555
2492779445	Triggered	1	 PureTone-5kHz	50	2	2492779445
2492783525	Triggered	4	 NoSound	50	2	2492783525
2493369119	Triggered	1	 PureTone-5kHz	50	2	2493369119
2493383688	Triggered	4	 NoSound	50	2	2493383688
2493402276	Triggered	1	 PureTone-5kHz	50	2	2493402276
2493406948	Triggered	4	 NoSound	50	2	2493406948
2493424531	Triggered	1	 PureTone-5kHz	50	2	2493424531
2493429012	Triggered	5	 PureTone-5kHz	50	2	2493429012
2493433351	Triggered	2	 NoSound	50	2	2493433351
2493451603	Triggered	5	 PureTone-5kHz	50	2	2493451603
2493455340	Triggered	2	 NoSound	50	2	2493455340
2493472323	Triggered	5	 PureTone-5kHz	50	2	2493472323
2493475796	Triggered	2	 NoSound	50	2	2493475796
2493492108	Triggered	5	 PureTone-5kHz	50	2	2493492108
2493496716	Triggered	2	 NoSound	50	2	2493496716
