Ver1.2	2739292400	StartFile	4/14/2020	11:29:08 AM	E:\BehavioralExperiments\Hachi\RatData_Hachi\RawData\041420A\SoundData.txt	2739292400
2741701334	Triggered	1	 Modulated Tone	25	2	2741701334
2741705271	Triggered	6	 NoSound	50	2	2741705271
2741716635	Triggered	1	 Modulated Tone	25	2	2741716635
2741720510	Triggered	6	 NoSound	50	2	2741720510
2741732211	Triggered	1	 Modulated Tone	25	2	2741732211
2741736017	Triggered	6	 NoSound	50	2	2741736017
2741747783	Triggered	1	 Modulated Tone	25	2	2741747783
2741751799	Triggered	6	 NoSound	50	2	2741751799
2741764023	Triggered	1	 Modulated Tone	25	2	2741764023
2741767968	Triggered	6	 NoSound	50	2	2741767968
2741779063	Triggered	1	 Modulated Tone	25	2	2741779063
2741782806	Triggered	6	 NoSound	50	2	2741782806
2741798517	Triggered	1	 Modulated Tone	25	2	2741798517
2741802664	Triggered	6	 NoSound	50	2	2741802664
2741815961	Triggered	1	 Modulated Tone	25	2	2741815961
2741821307	Triggered	5	 Modulated Tone	25	2	2741821307
2741824520	Triggered	2	 NoSound	50	2	2741824520
2741844572	Triggered	5	 Modulated Tone	25	2	2741844572
2741848110	Triggered	2	 NoSound	50	2	2741848110
2741866095	Triggered	5	 Modulated Tone	25	2	2741866095
2741870167	Triggered	2	 NoSound	50	2	2741870167
2741885007	Triggered	5	 Modulated Tone	25	2	2741885007
2741888883	Triggered	2	 NoSound	50	2	2741888883
2741902050	Triggered	4	 NoSound	50	2	2741902050
2741910405	Triggered	5	 Modulated Tone	25	2	2741910405
2741915152	Triggered	2	 NoSound	50	2	2741915152
2741933131	Triggered	5	 Modulated Tone	25	2	2741933131
2741937208	Triggered	2	 NoSound	50	2	2741937208
2741953049	Triggered	5	 Modulated Tone	25	2	2741953049
2742071231	Triggered	4	 NoSound	50	2	2742071231
2742088070	Triggered	5	 Modulated Tone	25	2	2742088070
2742175497	Triggered	4	 NoSound	50	2	2742175497
