Ver1.3	763810486	StartFile	12/18/2020	2:34:49 PM	E:\BehavioralExperiments\Twenty\Horizon\RawData\121820\SoundData.txt	763810486
765000643	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	765000643
765003916	Triggered	6,47,48,49,50,51,	 NoSound	40	2	765003916
765004130	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	765004130
765014610	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	765014610
765014811	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	765014811
765025440	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765025440
765028915	Triggered	8,52,53,54,55,56,	 NoSound	40	2	765028915
765029116	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	765029116
765041815	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765041815
765044489	Triggered	8,52,53,54,55,56,	 NoSound	40	2	765044489
765044692	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	765044692
765058726	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765058726
765061868	Triggered	8,52,53,54,55,56,	 NoSound	40	2	765061868
765062071	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	765062071
765075175	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765075175
765075379	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	765075379
765078378	Triggered	8,52,53,54,55,56,	 NoSound	40	2	765078378
765078581	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	765078581
765092213	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765092213
765092417	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	765092417
765095421	Triggered	8,52,53,54,55,56,	 NoSound	40	2	765095421
765095624	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	765095624
765110728	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765110728
765110931	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	765110931
765114471	Triggered	8,52,53,54,55,56,	 NoSound	40	2	765114471
765114674	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	765114674
765142811	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765142811
765143013	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	765143013
765146756	Triggered	8,52,53,54,55,56,	 NoSound	40	2	765146756
765146959	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	765146959
765160792	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765160792
765160995	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	765160995
765164602	Triggered	8,52,53,54,55,56,	 NoSound	40	2	765164602
765164805	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	765164805
765178175	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765178175
765178376	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	765178376
765182181	Triggered	8,52,53,54,55,56,	 NoSound	40	2	765182181
765182383	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	765182383
765249088	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765249088
765249289	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	765249289
765260652	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	765260652
765263735	Triggered	4,42,43,44,45,46,	 NoSound	40	2	765263735
765263936	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	765263936
765274823	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	765274823
765278899	Triggered	4,42,43,44,45,46,	 NoSound	40	2	765278899
765279101	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	765279101
765290597	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	765290597
765294742	Triggered	4,42,43,44,45,46,	 NoSound	40	2	765294742
765294942	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	765294942
765305636	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	765305636
765305840	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	765305840
765309579	Triggered	6,47,48,49,50,51,	 NoSound	40	2	765309579
765309780	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	765309780
765324763	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	765324763
765324966	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	765324966
765327960	Triggered	6,47,48,49,50,51,	 NoSound	40	2	765327960
765328172	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	765328172
765342999	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	765342999
765343203	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	765343203
765346480	Triggered	6,47,48,49,50,51,	 NoSound	40	2	765346480
765346681	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	765346681
765359042	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	765359042
765359245	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	765359245
765362985	Triggered	6,47,48,49,50,51,	 NoSound	40	2	765362985
765363187	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	765363187
765378759	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	765378759
765378962	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	765378962
765381903	Triggered	6,47,48,49,50,51,	 NoSound	40	2	765381903
765382104	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	765382104
765456495	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	765456495
765456697	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	765456697
765460306	Triggered	6,47,48,49,50,51,	 NoSound	40	2	765460306
765460507	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	765460507
765485443	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	765485443
765485643	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	765485643
765508163	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765508163
765511908	Triggered	2,37,38,39,40,41,	 NoSound	40	2	765511908
765512109	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	765512109
765528349	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765528349
765533095	Triggered	2,37,38,39,40,41,	 NoSound	40	2	765533095
765533298	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	765533298
765557225	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765557225
765561977	Triggered	2,37,38,39,40,41,	 NoSound	40	2	765561977
765562179	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	765562179
765578346	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765578346
765578561	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	765578561
765581699	Triggered	2,37,38,39,40,41,	 NoSound	40	2	765581699
765581901	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	765581901
765599068	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765599068
765599272	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	765599272
765603285	Triggered	8,52,53,54,55,56,	 NoSound	40	2	765603285
765603487	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	765603487
765628008	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765628009
765628212	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	765628212
765631618	Triggered	8,52,53,54,55,56,	 NoSound	40	2	765631618
765631821	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	765631821
765652740	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765652740
765652942	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	765652942
765656549	Triggered	8,52,53,54,55,56,	 NoSound	40	2	765656549
765656752	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	765656752
765676135	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765676135
765676337	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	765676337
765680546	Triggered	8,52,53,54,55,56,	 NoSound	40	2	765680546
765680751	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	765680751
765699998	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765699998
765700199	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	765700199
765703606	Triggered	8,52,53,54,55,56,	 NoSound	40	2	765703606
765703809	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	765703809
765730208	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	765730208
765730409	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	765730409
