Ver1.2	457775165	StartFile	2/20/2020	9:50:27 AM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\022020\SoundData.txt	457775165
461047476	Triggered	1	 Modulated Tone	25	2	461047476
461061980	Triggered	4	 NoSound	50	2	461061980
461079895	Triggered	1	 Modulated Tone	25	2	461079895
461095872	Triggered	4	 NoSound	50	2	461095872
461109503	Triggered	1	 Modulated Tone	25	2	461109503
461132364	Triggered	4	 NoSound	50	2	461132364
461158699	Triggered	1	 Modulated Tone	25	2	461158699
461179620	Triggered	4	 NoSound	50	2	461179620
461194597	Triggered	1	 Modulated Tone	25	2	461194597
461221729	Triggered	4	 NoSound	50	2	461221729
461234763	Triggered	1	 Modulated Tone	25	2	461234763
461257957	Triggered	4	 NoSound	50	2	461257957
461273598	Triggered	1	 Modulated Tone	25	2	461273598
461309829	Triggered	5	 Modulated Tone	25	2	461309829
461313502	Triggered	2	 NoSound	50	2	461313502
461321521	Triggered	5	 Modulated Tone	25	2	461321521
461324940	Triggered	2	 NoSound	50	2	461324940
461331749	Triggered	5	 Modulated Tone	25	2	461331749
461335229	Triggered	2	 NoSound	50	2	461335229
461340773	Triggered	5	 Modulated Tone	25	2	461340773
461343983	Triggered	8	 NoSound	50	2	461343983
461354743	Triggered	5	 Modulated Tone	25	2	461354743
461359288	Triggered	8	 NoSound	50	2	461359288
461370918	Triggered	5	 Modulated Tone	25	2	461370918
461379473	Triggered	8	 NoSound	50	2	461379473
461394317	Triggered	5	 Modulated Tone	25	2	461394317
461401866	Triggered	8	 NoSound	50	2	461401866
461414101	Triggered	5	 Modulated Tone	25	2	461414101
461421382	Triggered	8	 NoSound	50	2	461421382
461433882	Triggered	5	 Modulated Tone	25	2	461433882
461443909	Triggered	8	 NoSound	50	2	461443909
461456142	Triggered	5	 Modulated Tone	25	2	461456142
461467103	Triggered	8	 NoSound	50	2	461467103
461478265	Triggered	5	 Modulated Tone	25	2	461478265
461514827	Triggered	8	 NoSound	50	2	461514827
461526728	Triggered	5	 Modulated Tone	25	2	461526728
461542365	Triggered	8	 NoSound	50	2	461542365
461554664	Triggered	5	 Modulated Tone	25	2	461554664
461582271	Triggered	8	 NoSound	50	2	461582271
461590696	Triggered	5	 Modulated Tone	25	2	461590696
461596038	Triggered	6	 NoSound	50	2	461596038
461625048	Triggered	1	 Modulated Tone	25	2	461625048
461629927	Triggered	4	 NoSound	50	2	461629927
461638750	Triggered	1	 Modulated Tone	25	2	461638750
461644565	Triggered	6	 NoSound	50	2	461644565
461669433	Triggered	1	 Modulated Tone	25	2	461669433
461698908	Triggered	6	 NoSound	50	2	461698908
461734402	Triggered	1	 Modulated Tone	25	2	461734402
461741818	Triggered	6	 NoSound	50	2	461741818
461761603	Triggered	1	 Modulated Tone	25	2	461761603
461780252	Triggered	4	 NoSound	50	2	461780252
461789075	Triggered	1	 Modulated Tone	25	2	461789075
461799503	Triggered	4	 NoSound	50	2	461799503
461804784	Triggered	1	 Modulated Tone	25	2	461804784
461810865	Triggered	6	 NoSound	50	2	461810865
461829914	Triggered	1	 Modulated Tone	25	2	461829914
461907651	Triggered	6	 NoSound	50	2	461907651
461929240	Triggered	1	 Modulated Tone	25	2	461929240
461949092	Triggered	6	 NoSound	50	2	461949092
461967273	Triggered	1	 Modulated Tone	25	2	461967273
462002573	Triggered	6	 NoSound	50	2	462002573
462018340	Triggered	1	 Modulated Tone	25	2	462018340
462058310	Triggered	6	 NoSound	50	2	462058310
462077632	Triggered	1	 Modulated Tone	25	2	462077632
462094341	Triggered	6	 NoSound	50	2	462094341
462107906	Triggered	1	 Modulated Tone	25	2	462107906
462165590	Triggered	5	 Modulated Tone	25	2	462165590
462169266	Triggered	2	 NoSound	50	2	462169266
462188382	Triggered	5	 Modulated Tone	25	2	462188382
462193461	Triggered	8	 NoSound	50	2	462193461
462202553	Triggered	5	 Modulated Tone	25	2	462202553
462207433	Triggered	8	 NoSound	50	2	462207433
462213316	Triggered	5	 Modulated Tone	25	2	462213316
462216924	Triggered	2	 NoSound	50	2	462216924
462231496	Triggered	5	 Modulated Tone	25	2	462231496
462237845	Triggered	8	 NoSound	50	2	462237845
462243994	Triggered	5	 Modulated Tone	25	2	462243994
462247807	Triggered	2	 NoSound	50	2	462247807
462261973	Triggered	5	 Modulated Tone	25	2	462261973
462268389	Triggered	2	 NoSound	50	2	462268389
462285902	Triggered	5	 Modulated Tone	25	2	462285902
462312104	Triggered	2	 NoSound	50	2	462312104
462324070	Triggered	5	 Modulated Tone	25	2	462324070
462334430	Triggered	2	 NoSound	50	2	462334430
462349334	Triggered	5	 Modulated Tone	25	2	462349334
462366386	Triggered	2	 NoSound	50	2	462366386
462381819	Triggered	5	 Modulated Tone	25	2	462381819
462389109	Triggered	2	 NoSound	50	2	462389109
462404813	Triggered	5	 Modulated Tone	25	2	462404813
462435025	Triggered	2	 NoSound	50	2	462435025
462451267	Triggered	5	 Modulated Tone	25	2	462451267
462512628	Triggered	1	 Modulated Tone	25	2	462512628
462517440	Triggered	6	 NoSound	50	2	462517440
