Ver1.3	226725420	StartFile	2/12/2021	9:33:03 AM	E:\BehavioralExperiments\Gerald\Horizon\RawData\021221\SoundData.txt	226725420
227493210	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	227493210
227503660	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227503660
227507632	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227507632
227507844	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	227507844
227518950	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227518950
227522070	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227522070
227522272	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	227522272
227529350	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227529350
227532418	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227532418
227532619	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	227532619
227541685	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227541685
227541900	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	227541900
227544874	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227544874
227545076	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	227545076
227552996	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227552996
227553200	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	227553200
227556304	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227556304
227556505	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	227556505
227565449	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227565449
227565655	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	227565655
227568638	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227568638
227568838	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	227568838
227577182	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227577182
227577386	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	227577386
227580912	Triggered	4,42,43,44,45,46,	 NoSound	40	2	227580912
227581116	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	227581116
227591080	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227591080
