Ver1.3	111972973	StartFile	7/26/2020	7:10:31 PM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\072620B\SoundData.txt	111972973
112841555	Triggered	4,42,43,44,45,46,	 NoSound	40	2	112841555
112841756	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	112841756
112850377	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112850377
112850593	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	112850593
112853994	Triggered	4,42,43,44,45,46,	 NoSound	40	2	112853994
112854196	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	112854196
112862142	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112862142
112862346	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	112862346
112866219	Triggered	4,42,43,44,45,46,	 NoSound	40	2	112866219
112866420	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	112866420
112875377	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112875377
112875582	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	112875582
112878920	Triggered	4,42,43,44,45,46,	 NoSound	40	2	112878920
112879121	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	112879121
112886874	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112886874
112887091	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	112887091
112890416	Triggered	4,42,43,44,45,46,	 NoSound	40	2	112890416
112890619	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	112890619
112899907	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112899907
112900111	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	112900111
112903449	Triggered	4,42,43,44,45,46,	 NoSound	40	2	112903449
112903652	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	112903652
112912875	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112912875
112913080	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	112913080
112916149	Triggered	4,42,43,44,45,46,	 NoSound	40	2	112916149
112916350	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	112916350
112925707	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112925707
112925911	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	112925911
112928921	Triggered	4,42,43,44,45,46,	 NoSound	40	2	112928921
112929123	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	112929123
112937939	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112937939
112938143	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	112938143
112941282	Triggered	4,42,43,44,45,46,	 NoSound	40	2	112941282
112941484	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	112941484
112949570	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112949570
112949771	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	112949771
112953246	Triggered	4,42,43,44,45,46,	 NoSound	40	2	112953246
112953447	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	112953447
112960733	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112960733
112960935	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	112960935
112965077	Triggered	4,42,43,44,45,46,	 NoSound	40	2	112965077
112965279	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	112965279
112974434	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112974434
112974636	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	112974636
112978178	Triggered	4,42,43,44,45,46,	 NoSound	40	2	112978178
112978380	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	112978380
112987870	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112987870
112988070	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	112988070
113001377	Triggered	2,37,38,39,40,41,	 NoSound	40	2	113001377
113001583	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	113001583
113010930	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	113010930
113011134	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	113011134
113014406	Triggered	8,52,53,54,55,56,	 NoSound	40	2	113014406
113014608	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	113014608
113025850	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	113025850
113026053	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	113026053
113028776	Triggered	8,52,53,54,55,56,	 NoSound	40	2	113028776
113028978	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	113028978
113039939	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	113039939
113040144	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	113040144
113042681	Triggered	8,52,53,54,55,56,	 NoSound	40	2	113042681
113042883	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	113042883
113053575	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	113053575
113053779	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	113053779
113056582	Triggered	8,52,53,54,55,56,	 NoSound	40	2	113056582
113056785	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	113056785
113067476	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	113067476
