Ver1.3	945312147	StartFile	8/5/2020	10:39:30 AM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\080520A\SoundData.txt	945312147
946580662	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946580662
946580865	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	946580865
946587581	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946587581
946587782	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	946587782
946599375	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946599375
946599578	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	946599578
946606063	Triggered	6,47,48,49,50,51,	 NoSound	40	2	946606063
946606265	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	946606265
946615317	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946615317
946615520	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	946615520
946631261	Triggered	6,47,48,49,50,51,	 NoSound	40	2	946631261
946631463	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	946631463
946641130	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946641130
946641332	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	946641332
946645580	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946645580
946645781	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	946645781
946656832	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946656832
946657035	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	946657035
946661646	Triggered	6,47,48,49,50,51,	 NoSound	40	2	946661646
946661849	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	946661849
946671211	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946671211
946671414	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	946671414
946683666	Triggered	6,47,48,49,50,51,	 NoSound	40	2	946683666
946683868	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	946683868
946695640	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946695640
946695842	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	946695842
946699918	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946699918
946700119	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	946700119
946711643	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946711643
946711845	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	946711845
946716645	Triggered	6,47,48,49,50,51,	 NoSound	40	2	946716645
946716847	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	946716847
946739680	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946739680
946739884	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	946739884
946745517	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946745517
946745732	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	946745732
946759595	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946759595
946759800	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	946759800
946765317	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946765317
946765519	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	946765519
946779930	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946779930
946780133	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	946780133
946784202	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946784202
946784404	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	946784404
946794310	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946794310
946794514	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	946794514
946798461	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946798461
946798663	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	946798663
946817775	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946817775
946817977	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	946817977
946821805	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946821805
946822007	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	946822007
946846596	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946846596
946846798	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	946846798
946852189	Triggered	6,47,48,49,50,51,	 NoSound	40	2	946852189
946852391	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	946852391
946865795	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946865795
946865998	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	946865998
946869879	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946869879
946870079	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	946870079
946881251	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946881251
946881453	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	946881453
946886665	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946886665
946886866	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	946886866
946905558	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946905558
946905759	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	946905759
946910070	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946910070
946910271	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	946910271
946932933	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946932933
946933136	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	946933136
946937626	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946937626
946937827	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	946937827
946948756	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946948756
946948958	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	946948958
946956397	Triggered	6,47,48,49,50,51,	 NoSound	40	2	946956397
946956615	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	946956615
946967288	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946967288
946967502	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	946967502
946979682	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946979682
946984139	Triggered	2,37,38,39,40,41,	 NoSound	40	2	946984139
946984341	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	946984341
946996408	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946996408
947000559	Triggered	2,37,38,39,40,41,	 NoSound	40	2	947000559
947000759	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	947000759
947014652	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	947014652
947019091	Triggered	2,37,38,39,40,41,	 NoSound	40	2	947019091
947019292	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	947019292
947027874	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	947027874
947028077	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	947028077
947032025	Triggered	2,37,38,39,40,41,	 NoSound	40	2	947032025
947032226	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	947032226
947044481	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	947044481
947044684	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	947044684
947048151	Triggered	8,52,53,54,55,56,	 NoSound	40	2	947048151
947048352	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	947048352
947057296	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	947057296
947057498	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	947057498
947061087	Triggered	8,52,53,54,55,56,	 NoSound	40	2	947061087
947061288	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	947061288
947070352	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	947070352
947070569	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	947070569
947074082	Triggered	8,52,53,54,55,56,	 NoSound	40	2	947074082
947074283	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	947074283
947084069	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	947084069
947084271	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	947084271
947087799	Triggered	8,52,53,54,55,56,	 NoSound	40	2	947087799
947087999	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	947087999
947097607	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	947097607
947097810	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	947097810
947101104	Triggered	8,52,53,54,55,56,	 NoSound	40	2	947101104
947101304	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	947101304
947109881	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	947109881
947110097	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	947110097
947113311	Triggered	8,52,53,54,55,56,	 NoSound	40	2	947113311
947113512	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	947113512
947122756	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	947122756
947122958	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	947122958
947126379	Triggered	8,52,53,54,55,56,	 NoSound	40	2	947126379
947126581	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	947126581
947141301	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	947141301
947141505	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	947141505
947145018	Triggered	8,52,53,54,55,56,	 NoSound	40	2	947145018
947145219	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	947145219
947153201	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	947153201
947153404	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	947153404
947156930	Triggered	8,52,53,54,55,56,	 NoSound	40	2	947156930
947157133	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	947157133
947165354	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	947165354
947165557	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	947165557
947170528	Triggered	8,52,53,54,55,56,	 NoSound	40	2	947170528
947170740	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	947170740
947179793	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	947179794
947179997	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	947179997
