Ver1.3	157187053	StartFile	8/21/2020	2:45:55 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\082120B\SoundData.txt	157187053
158066534	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	158066534
158070179	Triggered	4,42,43,44,45,46,	 NoSound	40	2	158070179
158076556	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158076556
158076760	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	158076760
158080949	Triggered	6,47,48,49,50,51,	 NoSound	40	2	158080949
158081152	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	158081152
158093282	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158093282
158093485	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	158093485
158096895	Triggered	6,47,48,49,50,51,	 NoSound	40	2	158096895
158097098	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	158097098
158109106	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158109106
158109308	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	158109308
158112475	Triggered	6,47,48,49,50,51,	 NoSound	40	2	158112475
158112679	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	158112679
158125532	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158125532
158125735	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	158125735
158128900	Triggered	6,47,48,49,50,51,	 NoSound	40	2	158128900
158129103	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	158129103
158143941	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158143941
158144144	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	158144144
158147552	Triggered	6,47,48,49,50,51,	 NoSound	40	2	158147552
158147755	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	158147755
158159344	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158159344
158159547	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	158159547
158162476	Triggered	6,47,48,49,50,51,	 NoSound	40	2	158162476
158162678	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	158162678
158174325	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158174325
158174527	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	158174527
158177696	Triggered	4,42,43,44,45,46,	 NoSound	40	2	158177696
