Ver1.3	1003887668	StartFile	8/31/2020	9:57:36 AM	E:\BehavioralExperiments\Twenty\Horizon\RawData\083120\SoundData.txt	1003887668
1005807187	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005807187
1005807388	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1005807388
1005821357	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005821357
1005821571	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1005821571
1005825502	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005825502
1005825705	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1005825705
1005839738	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005839738
1005839941	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1005839941
1005843481	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005843481
1005843682	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1005843682
1005852774	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005852774
1005852975	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1005852975
1005856716	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005856716
1005856917	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1005856917
1005866742	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005866742
1005866954	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1005866954
1005916004	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005916004
1005919746	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1005919746
1005919948	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1005919948
1005926899	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005926899
1005930642	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1005930642
1005930843	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1005930843
1005938731	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005938731
1005942674	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1005942674
1005942875	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1005942875
1005958047	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005958047
1005962925	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1005962925
1005963127	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1005963127
1005977698	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005977698
1005977900	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1005977900
1005982645	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1005982645
1005982848	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1005982848
1005996881	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005996881
1005997082	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1005997082
1006014193	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1006014193
1006017469	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1006017469
1006017669	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1006017669
1006026492	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1006026492
