Ver1.3	103758953	StartFile	7/26/2020	4:53:37 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\072620A\SoundData.txt	103758953
104936162	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104936162
104936367	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	104936367
104941338	Triggered	6,47,48,49,50,51,	 NoSound	40	2	104941338
104946452	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104946452
104946654	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	104946654
104970107	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104970107
104989893	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104989893
104990098	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	104990098
104994103	Triggered	6,47,48,49,50,51,	 NoSound	40	2	104994103
105004697	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	105004697
105004901	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	105004901
105011130	Triggered	4,42,43,44,45,46,	 NoSound	40	2	105011130
105032021	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	105032021
105032225	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	105032225
105037843	Triggered	4,42,43,44,45,46,	 NoSound	40	2	105037843
105049877	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	105049877
105050080	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	105050080
105072438	Triggered	6,47,48,49,50,51,	 NoSound	40	2	105072438
105079236	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	105079236
105079454	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	105079454
105084832	Triggered	4,42,43,44,45,46,	 NoSound	40	2	105084832
105099574	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	105099574
105099777	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	105099777
105106914	Triggered	6,47,48,49,50,51,	 NoSound	40	2	105106914
105125505	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	105125505
105125707	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	105125707
105130017	Triggered	4,42,43,44,45,46,	 NoSound	40	2	105130017
105142531	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	105142531
105142734	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	105142734
105146925	Triggered	6,47,48,49,50,51,	 NoSound	40	2	105146925
105153482	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	105153482
105153696	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	105153696
105166838	Triggered	4,42,43,44,45,46,	 NoSound	40	2	105166838
105174059	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	105174059
105174260	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	105174260
105183143	Triggered	4,42,43,44,45,46,	 NoSound	40	2	105183143
105193613	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	105193613
105193814	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	105193814
105198606	Triggered	6,47,48,49,50,51,	 NoSound	40	2	105198606
105213168	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	105213168
105213369	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	105213369
105220026	Triggered	4,42,43,44,45,46,	 NoSound	40	2	105220026
105243010	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	105243010
105243212	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	105243212
105249807	Triggered	6,47,48,49,50,51,	 NoSound	40	2	105249807
105261298	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	105261298
105261499	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	105261499
105275198	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105275198
105275401	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105275401
105287832	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105287832
105288035	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	105288035
105291323	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105291323
105291524	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105291524
105300902	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105300902
105301105	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	105301105
105304439	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105304439
105304653	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105304653
105314065	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105314065
105314268	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	105314268
105317444	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105317444
105317655	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105317655
105327903	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105327903
105328105	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	105328105
105331097	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105331097
105331299	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105331299
105341260	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105341260
105341463	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	105341463
105344569	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105344569
105344770	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105344770
105355819	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105355819
105356022	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	105356022
