Ver1.3	430142375	StartFile	7/30/2020	11:33:21 AM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\073020A\SoundData.txt	430142375
430915382	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430915382
430915586	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430915586
430917923	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430917923
430918125	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	430918125
430925544	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430925544
430925747	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430925747
430928016	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430928016
430928218	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	430928218
430936705	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430936705
430936908	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430936908
430939179	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430939179
430939381	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	430939381
430947001	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430947001
430947204	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430947204
430949470	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430949470
430949672	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	430949672
430957091	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430957091
430957294	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430957294
430959431	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430959431
430959633	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	430959633
430968521	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430968521
430968723	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430968723
430970866	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430970866
430971068	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	430971068
430979083	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430979083
430979287	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430979287
430981555	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430981555
430981757	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	430981757
430989710	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430989710
430989913	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430989913
430992317	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430992317
430992519	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	430992519
431000737	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	431000737
431000942	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	431000942
431003081	Triggered	4,42,43,44,45,46,	 NoSound	40	2	431003081
431003283	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	431003283
431010563	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	431010563
431010768	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	431010768
431013103	Triggered	4,42,43,44,45,46,	 NoSound	40	2	431013103
431013305	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	431013305
431020925	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	431020925
431021127	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	431021127
431023331	Triggered	4,42,43,44,45,46,	 NoSound	40	2	431023331
431023532	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	431023532
431031151	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	431031151
431031355	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	431031355
431033489	Triggered	4,42,43,44,45,46,	 NoSound	40	2	431033489
431033691	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	431033691
431041446	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	431041446
431041649	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	431041649
431043937	Triggered	4,42,43,44,45,46,	 NoSound	40	2	431043937
431044138	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	431044138
431053141	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	431053141
431053343	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	431053343
431055551	Triggered	4,42,43,44,45,46,	 NoSound	40	2	431055551
431055752	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	431055752
431063501	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	431063501
431063717	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	431063717
431066513	Triggered	4,42,43,44,45,46,	 NoSound	40	2	431066513
431066716	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	431066716
431074263	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	431074263
431074466	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	431074466
431076535	Triggered	4,42,43,44,45,46,	 NoSound	40	2	431076535
431076737	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	431076737
431085960	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	431085960
431086163	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	431086163
431088300	Triggered	4,42,43,44,45,46,	 NoSound	40	2	431088300
431088502	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	431088502
431095785	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	431095785
